Carmita,Kunsan,18237576034,02.12.1914,4798814642
Cally,Patquía,27235862793,15.12.1946,6486929387
Karlis,Bom Despacho,19703300834,16.05.2001,8771761811
Justis,Khvorostyanka,87261630960,22.02.1937,3032487389
Crichton,Koungheul,75194667196,26.12.1908,9949022238
Germaine,Staré Město,89993767992,20.09.1933,6057946480
Ethelda,Maipú,78686638038,22.05.1902,4437477139
Belvia,Norrköping,15739436808,24.03.1977,3906398054
Ginevra,Kosmonosy,12581186849,23.07.1921,5062363424
Kerr,Yuci,17488873672,23.10.1985,5139619262
Griffy,Ust’-Uda,98050908282,06.09.1934,1532007393
Emilie,Chegang,26192374667,30.05.1914,9502281692
Richardo,Sandachō,39643537045,21.05.1975,3912046146
Luigi,Yao,25595559714,29.02.1924,9105799600
Braden,Kukoboy,23303077937,09.03.2006,6845389031
Bendicty,Längelmäki,83272714700,26.12.2004,5647872471
Vasily,Mafang,77537951685,16.01.1951,3996854031
Lorita,San Fabian,41904246124,17.11.1946,3275823574
Annis,Otterburn Park,97336917720,17.10.2009,1755276403
Ned,Kuala Lumpur,29639186939,26.02.1933,6744361345
Judie,Lantang,55434865614,16.01.1977,1448731208
Jasmina,Didou,69557926589,01.01.1958,8356605771
Marnia,Daqiao,35032291422,15.01.2003,3896991347
Aube,Lajaluhur,84119022740,12.01.2013,3747042321
Aurora,Duofudu,62202241141,20.11.1965,8427273763
Jilli,Xianyang,38409245728,30.10.1914,8251157203
Vere,Heshui,18053222284,10.07.2007,8947453278
Judith,Łobez,77163912616,24.02.1965,2607745161
Kenon,Vista Alegre,23530639625,04.01.1987,3951260379
Alessandro,Teluk Pinang,12900695973,29.01.1966,1196113174
Roger,Haikou,48075773266,25.02.1930,9637404958
Marybeth,Los Angeles,82204733321,15.09.1995,2136040717
Clair,Dayr Dibwān,82746473061,28.10.1931,6582165221
Clarey,Datartua,55351982813,01.09.1957,1311627088
Tristan,Ovruch,56491067626,04.03.1916,2118677220
Zacherie,Lilla Edet,25669242437,27.01.1927,3704030144
Mayne,Atamyrat,45334720802,30.08.1914,6829099787
Desirae,Turpo,88460803565,08.02.1998,2757414970
Brnaba,Ya’erya,54844215419,26.06.2010,3127550284
Corry,Xintai,69681467369,19.03.1974,2828358419
Quinn,Guaíra,62059445262,27.01.2006,2877666207
Simona,Jinshiqiao,75308086292,11.10.2007,3908417817
Bel,Palestina,73199803477,04.08.2001,2931769700
Dulcine,Hisya,33763022461,16.09.1964,1772726598
Nanete,Stará Ves nad Ondřejnicí,21695716628,07.05.2018,3566913880
Alvira,Armação de Pêra,51077535247,05.02.1940,9641106929
Travers,Luleå,23282748949,09.05.1932,7607647889
Randie,Miasskoye,15673785650,01.02.1925,5058218370
Marlin,Katagum,80135873514,12.10.1936,8588275663
Helyn,Carvalhal,45533726445,02.06.1996,6098167868
Tiebold,Nová Role,25564848106,16.11.1959,6908423857
Gilles,Landim,10140068014,13.03.1921,5118573128
Lilia,Yangjiafang,99250874872,14.04.1971,3922444379
Elspeth,Shuitianhe,21980038066,15.07.1930,5048539241
Hart,Jenzan,38303543216,24.07.1981,4174841718
Nettie,Zuhu,19914573723,10.07.1921,3497499693
Clay,Krasnokholm,76228619351,17.10.2017,4578911555
Gustave,Burujul,17410988121,22.12.1987,6203129118
Taryn,Gaoguan,17894964654,03.10.2009,7336835124
Editha,Pindaré Mirim,29564022922,27.01.1904,1396764498
Kelwin,Matamey,75772912958,17.04.1901,9647108166
Antony,Drawno,62068443595,11.09.1943,4138734822
Aidan,Buga,31584291449,12.09.1958,5457865340
Amity,Beiwa,37091437034,18.03.1947,8819689411
Drud,Vaxholm,58589845662,02.12.1996,1118264377
Harper,Vitoria-Gasteiz,84504221049,12.07.2013,8184443560
Benedick,Santo Niño,44377777494,18.07.1924,1853387120
Granger,Chicacao,52333022797,09.01.1909,6519600102
Phebe,Papineauville,40260527658,25.02.1914,1079420352
Willie,Laagri,45349359143,21.03.1915,2782169610
Nev,Reims,59869978120,07.03.1995,4474549036
Ingunna,Kumla,97489703829,22.06.1984,6722733160
Jasmina,Idkū,25045898433,26.01.1930,2069996392
Lonni,Przelewice,93035613637,05.07.1921,3625022776
Merwin,Landskrona,47683449935,09.09.1964,9042921935
Olly,Kota Kinabalu,82824902724,18.08.2000,6691879368
Sheila,Gunungtua,14944484735,06.01.1960,3779348760
Ingaborg,Calomboyan,10555443446,09.11.1935,4979884540
Alfreda,Fangyan,43175686939,05.05.1959,3023551405
Cori,Kohila,40743051542,21.11.2012,3508869024
Nolana,Kasangulu,39894564076,29.07.1905,9061722353
Marinna,Ban Rangsit,70425885634,26.03.1924,3327782423
Rollins,Tengger,23386205356,19.01.1988,5314640302
Cathy,Nipawin,76247290748,17.07.1969,8536819122
Tyne,Rashaant,23552719165,26.02.2014,9941033529
Lane,Munjungan,18332859189,04.04.2003,9822761373
Del,La Charité-sur-Loire,79108795523,18.07.2014,6558357608
